ARO Category	ARO Accession	ARO Name
AMR Gene Family	ARO:3004272	16S rRNA methyltransferase (A1408)
AMR Gene Family	ARO:3004271	16S rRNA methyltransferase (G1405)
AMR Gene Family	ARO:3003666	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics
AMR Gene Family	ARO:3003976	16S rRNA with mutation conferring resistance to pactamycin
AMR Gene Family	ARO:3003667	16s rRNA with mutation conferring resistance to peptide antibiotics
AMR Gene Family	ARO:3003668	16s rRNA with mutation conferring resistance to polyamine antibiotics
AMR Gene Family	ARO:3003669	16S rRNA with mutation conferring resistance to tetracycline derivatives
AMR Gene Family	ARO:3004936	23s rRNA with mutation conferring resistance to aminoglycoside antibiotics
AMR Gene Family	ARO:3004187	23S rRNA with mutation conferring resistance to lincosamide antibiotics
AMR Gene Family	ARO:3004057	23S rRNA with mutation conferring resistance to linezolid antibiotics
AMR Gene Family	ARO:3004125	23S rRNA with mutation conferring resistance to macrolide antibiotics
AMR Gene Family	ARO:3004172	23S rRNA with mutation conferring resistance to oxazolidinone antibiotics
AMR Gene Family	ARO:3004188	23S rRNA with mutation conferring resistance to phenicol antibiotics
AMR Gene Family	ARO:3004178	23S rRNA with mutation conferring resistance to pleuromutilin antibiotics
AMR Gene Family	ARO:3004182	23S rRNA with mutation conferring resistance to streptogramins antibiotics
AMR Gene Family	ARO:3005001	50S rRNA with mutation conferring resistance to macrolide antibiotics
AMR Gene Family	ARO:3004259	AAC(1)
AMR Gene Family	ARO:3000341	AAC(2')
AMR Gene Family	ARO:3000322	AAC(3)
AMR Gene Family	ARO:3000345	AAC(6')
AMR Gene Family	ARO:3005113	AAC(6')-Ib-cr
AMR Gene Family	ARO:3005387	AAK beta-lactamase
AMR Gene Family	ARO:3000073	ACC beta-lactamase
AMR Gene Family	ARO:3004358	ACI beta-lactamase
AMR Gene Family	ARO:3003581	Acinetobacter mutant Lpx gene conferring resistance to colistin
AMR Gene Family	ARO:3000072	ACT beta-lactamase
AMR Gene Family	ARO:3005460	ADC beta-lactamases pending classification for carbapenemase activity
AMR Gene Family	ARO:3004545	ADC beta-lactamase with carbapenemase activity
AMR Gene Family	ARO:3003846	ADC beta-lactamase without carbapenemase activity
AMR Gene Family	ARO:3000089	AER beta-lactamase
AMR Gene Family	ARO:3005388	AFM beta-lactamase
AMR Gene Family	ARO:3004216	AIM beta-lactamase
AMR Gene Family	ARO:3005389	ALG11 beta-lactamase
AMR Gene Family	ARO:3005390	ALG6 beta-lactamases
AMR Gene Family	ARO:3005391	ALI beta-lactamase
AMR Gene Family	ARO:3003830	Aminocoumarin resistant alaS
AMR Gene Family	ARO:3003840	aminocoumarin resistant cysB
AMR Gene Family	ARO:3000479	aminocoumarin resistant gyrB
AMR Gene Family	ARO:3000457	aminocoumarin resistant parE
AMR Gene Family	ARO:3000480	aminocoumarin resistant parY
AMR Gene Family	ARO:3003787	aminocoumarin self resistant parY
AMR Gene Family	ARO:3004183	aminosalicylate resistant dihydrofolate reductase
AMR Gene Family	ARO:3004155	aminosalicylate resistant dihydrofolate synthase
AMR Gene Family	ARO:3004152	aminosalicylate resistant thymidylate synthase
AMR Gene Family	ARO:3004258	amp acetyltransferase
AMR Gene Family	ARO:3004232	ampC-type beta-lactamase
AMR Gene Family	ARO:3005392	ANA beta-lactamase
AMR Gene Family	ARO:3004276	ANT(2'')
AMR Gene Family	ARO:3004275	ANT(3'')
AMR Gene Family	ARO:3000229	ANT(4')
AMR Gene Family	ARO:3000225	ANT(6)
AMR Gene Family	ARO:3000228	ANT(9)
AMR Gene Family	ARO:3004251	antibiotic-resistant cya adenylate cyclase
AMR Gene Family	ARO:3004284	antibiotic resistant fabG
AMR Gene Family	ARO:3004270	antibiotic resistant fabI
AMR Gene Family	ARO:3003734	antibiotic resistant fusA
AMR Gene Family	ARO:3003736	antibiotic resistant fusE
AMR Gene Family	ARO:3003466	antibiotic resistant gidB
AMR Gene Family	ARO:3004247	antibiotic-resistant GlpT
AMR Gene Family	ARO:3007056	Antibiotic resistant Helicobacter pylori nitroreductase
AMR Gene Family	ARO:3000446	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)
AMR Gene Family	ARO:3003462	antibiotic resistant kasA
AMR Gene Family	ARO:3002811	antibiotic-resistant murA transferase
AMR Gene Family	ARO:3003460	antibiotic resistant ndh
AMR Gene Family	ARO:3003754	antibiotic resistant nfsA
AMR Gene Family	ARO:3003755	Antibiotic resistant nfsB
AMR Gene Family	ARO:3005002	antibiotic resistant polyketide synthase genes
AMR Gene Family	ARO:3004250	antibiotic-resistant ptsI phosphotransferase
AMR Gene Family	ARO:3003419	antibiotic-resistant rpsL
AMR Gene Family	ARO:3003443	Antibiotic resistant tlyA
AMR Gene Family	ARO:3004248	antibiotic-resistant UhpT
AMR Gene Family	ARO:3000128	APH(2'')
AMR Gene Family	ARO:3000127	APH(3'')
AMR Gene Family	ARO:3000126	APH(3')
AMR Gene Family	ARO:3000155	APH(4)
AMR Gene Family	ARO:3000151	APH(6)
AMR Gene Family	ARO:3000154	APH(7'')
AMR Gene Family	ARO:3000153	APH(9)
AMR Gene Family	ARO:3002992	AQU beta-lactamase
AMR Gene Family	ARO:3004742	ARL Beta-lactamase
AMR Gene Family	ARO:3004741	AST Beta-lactamase
AMR Gene Family	ARO:0010001	ATP-binding cassette (ABC) antibiotic efflux pump
AMR Gene Family	ARO:3005393	AXC beta-lactamase
AMR Gene Family	ARO:3004744	AZECL Beta-lactamase
AMR Gene Family	ARO:3004260	Bah amidohydrolase
AMR Gene Family	ARO:3004746	BAT Beta-lactamase
AMR Gene Family	ARO:3004748	BCL Beta-lactamase
AMR Gene Family	ARO:3002384	BEL beta-lactamase
AMR Gene Family	ARO:3004750	BES Beta-lactamase
AMR Gene Family	ARO:3004752	BIC Beta-lactamase
AMR Gene Family	ARO:3004754	BIL Beta-lactamase
AMR Gene Family	ARO:3004219	BJP beta-lactamase
AMR Gene Family	ARO:3004756	BKC Beta-lactamase
AMR Gene Family	ARO:3004190	BlaA beta-lactamase
AMR Gene Family	ARO:3004201	BlaB beta-lactamase
AMR Gene Family	ARO:3004233	blaF family beta-lactamase
AMR Gene Family	ARO:3005110	blaS
AMR Gene Family	ARO:3004197	BlaZ beta-lactamase
AMR Gene Family	ARO:3004256	Bleomycin resistant protein
AMR Gene Family	ARO:3004758	BPU Beta-lactamase
AMR Gene Family	ARO:3004760	BRO Beta-lactamase
AMR Gene Family	ARO:3005394	BSU beta-lactamase
AMR Gene Family	ARO:3004293	BUT beta-lactamase
AMR Gene Family	ARO:3004558	CAM beta-lactamase
AMR Gene Family	ARO:3005048	Camphor Resistance Protein
AMR Gene Family	ARO:3007074	capreomycin phosphotransferase
AMR Gene Family	ARO:3000091	CARB beta-lactamase
AMR Gene Family	ARO:3005395	CAR beta-lactamase
AMR Gene Family	ARO:3004283	CarO porin
AMR Gene Family	ARO:3004218	CAU beta-lactamase
AMR Gene Family	ARO:3002998	CblA beta-lactamase
AMR Gene Family	ARO:3004763	CBP beta-lactamase
AMR Gene Family	ARO:3005396	CDD beta-lactamase
AMR Gene Family	ARO:3004192	CepA beta-lactamase
AMR Gene Family	ARO:3004199	CepS beta-lactamase
AMR Gene Family	ARO:3004200	CfiA beta-lactamase
AMR Gene Family	ARO:3000202	Cfr 23S ribosomal RNA methyltransferase
AMR Gene Family	ARO:3004252	cfr methyltrasnferase
AMR Gene Family	ARO:3003000	CfxA beta-lactamase
AMR Gene Family	ARO:3004765	CGA beta-lactamase
AMR Gene Family	ARO:3004203	CGB beta-lactamase
AMR Gene Family	ARO:3000122	chloramphenicol acetyltransferase (CAT)
AMR Gene Family	ARO:3000249	chloramphenicol phosphotransferase
AMR Gene Family	ARO:3004767	CIA beta-lactamase
AMR Gene Family	ARO:3004467	ciprofloxacin phosphotransferase
AMR Gene Family	ARO:3004772	CKO beta-lactamase
AMR Gene Family	ARO:3004229	class A Bacillus anthracis Bla beta-lactamase
AMR Gene Family	ARO:3007100	class A Bacillus cereus Bc beta-lactamase
AMR Gene Family	ARO:3004228	class A LRA beta-lactamase
AMR Gene Family	ARO:3007179	class A Mycobacterium abscessus beta-lactamase
AMR Gene Family	ARO:3007181	class A Mycobacterium tuberculosis bla beta-lactamase
AMR Gene Family	ARO:3004231	class C LRA beta-lactamase
AMR Gene Family	ARO:3004241	class D LRA beta-lactamase
AMR Gene Family	ARO:3005397	CMA beta-lactamase
AMR Gene Family	ARO:3004774	CME beta-lactamase
AMR Gene Family	ARO:3004776	CMH beta-lactamase
AMR Gene Family	ARO:3000069	CMY beta-lactamase
AMR Gene Family	ARO:3004257	cpa acetyltransferase
AMR Gene Family	ARO:3000581	CphA beta-lactamase
