start	stop	frame	contig	score	gene	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	match_type	gene_hmm	loca	phrog_hmm	alnScore_hmm	seqIdentity_hmm	eVal_hmm	color	annot	category
490	2	-	EC23	-19840.771783483026	EC23_0 490_2	2166	42.6	0.044	0.000139	NA	PHANOTATE	CDS	hmm	EC23_0	490_2	phrog_2166	42.6	0.044	0.000139	#ffdf59	N4-like RNA polymerase	DNA, RNA and nucleotide metabolism
1477	554	-	EC23	-1220050.1895570362	EC23_1 1477_554	4571	353.0	0.6	1.4549999999999999e-111	KY250034_p9	PHANOTATE	CDS	mmseqs	EC23_1	1477_554	phrog_15077	26.7	0.034	0.196	#c9c9c9	hypothetical protein	unknown function
1664	1539	-	EC23	-10.229666487711395	EC23_2 1664_1539	32237	20.6	0.138	3.21	NA	PHANOTATE	CDS	hmm	EC23_2	1664_1539	phrog_32237	20.6	0.138	3.21	#c9c9c9	hypothetical protein	unknown function
1854	1741	-	EC23	-7.380488557321602	EC23_3 1854_1741	11746	94.0	1.0	7.403e-28	KX279892_p4	PHANOTATE	CDS	mmseqs	EC23_3	1854_1741	phrog_7770	25.3	0.152	0.394	#c9c9c9	hypothetical protein	unknown function
2210	1857	-	EC23	-659.3100166583376	EC23_4 2210_1857	2568	117.0	0.491	2.996e-33	NC_023007_p18	PHANOTATE	CDS	mmseqs	EC23_4	2210_1857	phrog_8760	23.0	0.086	0.998	#ff59f5	ocr-like anti-restriction	moron, auxiliary metabolic gene and host takeover
2471	2361	-	EC23	-19.24074207554459	EC23_5 2471_2361	23798	19.9	0.054	4.37	NA	PHANOTATE	CDS	hmm	EC23_5	2471_2361	phrog_23798	19.9	0.054	4.37	#c9c9c9	hypothetical protein	unknown function
2592	2494	-	EC23	-0.0638179185537425	EC23_6 2592_2494	22753	20.1	0.082	4.14	NA	PHANOTATE	CDS	hmm	EC23_6	2592_2494	phrog_22753	20.1	0.082	4.14	#c9c9c9	hypothetical protein	unknown function
2825	2601	-	EC23	-206.267082438556	EC23_7 2825_2601	6403	110.0	0.719	1.531e-32	KX279892_p2	PHANOTATE	CDS	mmseqs	EC23_7	2825_2601	phrog_10284	22.0	0.083	1.52	#c9c9c9	hypothetical protein	unknown function
3004	2825	-	EC23	-14.254422507426774	EC23_8 3004_2825	9275	137.0	1.0	2.991e-42	MG251390_p2	PHANOTATE	CDS	mmseqs	EC23_8	3004_2825	phrog_4072	22.9	0.111	1.06	#c9c9c9	hypothetical protein	unknown function
3138	3001	-	EC23	-7.244687726817759	EC23_9 3138_3001	2061	74.0	0.717	3.021e-20	p246816 VI_06898	PHANOTATE	CDS	mmseqs	EC23_9	3138_3001	phrog_35040	36.1	0.083	0.00305	#c9c9c9	hypothetical protein	unknown function
