phrog	gene	alnScore	seqIdentity	eVal
phrog_894 ## KR093626_p4	EC23delimiter20 9063_8719	122	0.483	1.2340000000000001e-34
phrog_14895 ## MG251390_p54	EC23delimiter16 8042_6144	1346	1.0	0.0
phrog_805 ## MG957431_p3	EC23delimiter30 20882_20160	132	0.464	4.237e-38
phrog_24605 ## NC_029067_p7	EC23delimiter61 42088_41870	160	1.0	7.746e-50
phrog_4571 ## KY250034_p9	EC23delimiter1 1477_554	353	0.6	1.4549999999999999e-111
phrog_2710 ## MF612071_p45	EC23delimiter27 13839_12877	336	0.638	2.283e-106
phrog_414 ## NC_010106_p1	EC23delimiter63 44680_42545	377	0.444	2.8140000000000003e-115
phrog_17672 ## NC_007637_p52	EC23delimiter24 12390_10495	867	1.0	1.604e-288
phrog_5754 ## KY295897_p23	EC23delimiter56 38746_38570	123	0.998	4.7019999999999995e-37
phrog_2234 ## NC_020081_p203	EC23delimiter15 6058_4346	74	0.238	3.242e-16
phrog_6703 ## KX279892_p10	EC23delimiter58 39648_38965	454	0.953	4.168e-149
phrog_2585 ## NC_031115_p18	EC23delimiter41 30291_29788	118	0.783	4.5989999999999996e-33
phrog_239 ## NC_031029_p115	EC23delimiter60 41870_39882	224	0.281	1.6240000000000002e-64
phrog_11746 ## KX279892_p4	EC23delimiter3 1854_1741	94	1.0	7.403e-28
phrog_2725 ## NC_025822_p40	EC23delimiter22 10038_9754	122	0.715	1.8940000000000002e-36
phrog_2725 ## NC_025822_p40	EC23delimiter23 10337_10056	117	0.638	1.1620000000000001e-34
phrog_32357 ## MG775042_p16	EC23delimiter21 9752_9063	440	0.922	6.155e-144
phrog_6403 ## KX279892_p2	EC23delimiter7 2825_2601	110	0.719	1.531e-32
phrog_2061 ## p246816 VI_06898	EC23delimiter9 3138_3001	74	0.717	3.021e-20
phrog_862 ## MG676466_p38	EC23delimiter48 34592_33786	144	0.381	1.9049999999999998e-41
phrog_2568 ## NC_023007_p18	EC23delimiter4 2210_1857	117	0.491	2.996e-33
phrog_342 ## NC_028880_p38	EC23delimiter28 17147_13839	279	0.226	3.5780000000000004e-78
phrog_7450 ## NC_031271_p14	EC23delimiter49 35047_34670	243	0.922	6.786000000000001e-78
phrog_4290 ## MG545917_p39	EC23delimiter29 20160_17212	626	0.509	1.3540000000000002e-199
phrog_17 ## NC_019926_p15	EC23delimiter53 38212_35666	386	0.373	1.746e-118
phrog_5791 ## KY295891_p13	EC23delimiter47 33776_33558	145	0.946	5.738999999999999e-45
phrog_2423 ## KY435490_p57	EC23delimiter14 4334_4185	79	0.766	2.4529999999999996e-22
phrog_15860 ## NC_007637_p23	EC23delimiter52 35666_35550	96	1.0	2.195e-28
phrog_1312 ## NC_028795_p19	EC23delimiter19 8725_8594	63	0.697	9.245e-17
phrog_8971 ## NC_007637_p59	EC23delimiter17 8371_8174	139	0.996	7.829e-43
phrog_221 ## MH020239_p48	EC23delimiter42 31532_30393	188	0.436	2.865e-56
phrog_9033 ## KY626176_p31	EC23delimiter36 28051_27842	49	0.533	9.75e-12
phrog_457 ## NC_020874_p22	EC23delimiter31 23284_20882	562	0.363	1.761e-173
phrog_4429 ## MG545917_p23	EC23delimiter46 33452_33078	181	0.715	2.438e-56
phrog_446 ## NC_004777_p36	EC23delimiter32 24021_23284	173	0.481	5.539e-52
phrog_1018 ## HG796221_p32	EC23delimiter34 26290_25370	110	0.306	1.527e-29
phrog_6507 ## NC_031271_p26	EC23delimiter38 28632_28519	71	0.886	3.1e-19
phrog_4712 ## NC_013651_p44	EC23delimiter18 8610_8461	76	0.78	2.812e-21
phrog_449 ## KM576124_p42	EC23delimiter35 27840_26290	497	0.524	3.9269999999999996e-158
phrog_114 ## NC_019913_p32	EC23delimiter40 29786_28839	89	0.266	2.087e-21
phrog_267 ## NC_031123_p36	EC23delimiter33 25290_24076	120	0.276	7.907e-32
phrog_5860 ## MG736918_p27	EC23delimiter39 28867_28652	123	0.875	5.462e-37
phrog_920 ## NC_028880_p40	EC23delimiter26 12867_12673	80	0.595	2.354e-22
phrog_891 ## KY065149_p24	EC23delimiter25 12689_12390	84	0.479	1.102e-22
phrog_4539 ## KY295897_p27	EC23delimiter51 35550_35452	74	1.0	8.439e-21
phrog_107 ## NC_019402_p42	EC23delimiter44 32816_31788	151	0.351	6.575e-43
phrog_15806 ## NC_019403_p14	EC23delimiter59 39882_39721	123	1.0	1.5139999999999999e-37
phrog_1249 ## NC_028770_p48	EC23delimiter37 28522_28061	98	0.391	2.836e-27
phrog_9214 ## NC_019403_p16	EC23delimiter57 38954_38736	170	1.0	1.7209999999999997e-53
phrog_9275 ## MG251390_p2	EC23delimiter8 3004_2825	137	1.0	2.991e-42
phrog_35123 ## NC_028916_p18	EC23delimiter50 35394_35134	29	0.324	0.0004682
phrog_2490 ## NC_011045_p6	EC23delimiter62 42220_42092	65	0.747	1.602e-17
phrog_15473 ## KY295897_p24	EC23delimiter55 38512_38405	87	1.0	2.017e-25
