phrog	gene	alnScore	seqIdentity	eVal
phrog_1047 ## KP881332_p40	contig_3 37934_41989	957	0.528	3.2040000000000004e-308
phrog_2995 ## MG721208_p172	contig_3 6334_5720	403	0.937	3.7930000000000003e-131
phrog_2340 ## MH107769_p146	contig_3 80155_80667	216	0.641	6.719e-67
phrog_4855 ## JX080302_p207	contig_3 112226_112735	389	1.0	4.4429999999999995e-127
phrog_635 ## p151018 VI_04917	contig_3 13336_12533	299	0.606	1.835e-90
phrog_32622 ## NC_025426_p30	contig_3 71152_72219	178	1.0	8.048e-56
phrog_3200 ## KJ206562_p55	contig_3 2011_2	1441	1.0	0.0
phrog_1127 ## KU737346_p88	contig_3 31387_32007	310	0.742	6.393e-99
phrog_1004 ## NC_019487_p144	contig_3 30509_31387	352	0.768	6.182e-113
phrog_21388 ## KX532239_p86	contig_3 68622_70541	246	0.807	8.919e-78
phrog_1017 ## p137170 VI_02792	contig_2 1056_568	180	0.57	7.883999999999999e-54
phrog_4340 ## AY954969_p124	contig_3 111625_111846	184	1.0	6.243e-58
phrog_1992 ## p247154 VI_04561	contig_2 12310_12008	111	0.373	1.4690000000000001e-30
phrog_100 ## NC_031107_p32	contig_3 67208_68245	151	0.296	3.711e-41
phrog_1215 ## NC_024787_p72	contig_3 16561_16352	96	0.652	5.152e-27
phrog_1098 ## NC_009904_p44	contig_3 64081_65694	478	0.499	8.73e-151
phrog_2773 ## KP881332_p67	contig_3 68245_68622	132	0.791	1.827e-39
phrog_279 ## p47709 VI_05997	contig_3 33106_34869	252	0.33	1.8630000000000002e-74
phrog_883 ## KY554770_p110	contig_3 73688_74080	108	0.484	2.197e-30
phrog_985 ## NC_022918_p104	contig_3 34942_35370	260	0.875	5.9419999999999996e-83
phrog_3847 ## AY954969_p123	contig_3 111231_111623	293	1.0	1.381e-94
phrog_15361 ## NC_030933_p20	contig_3 24046_25737	488	0.83	8.762e-159
phrog_11913 ## MF398190_p193	contig_3 104808_105068	224	1.0	1.179e-71
phrog_1011 ## MF288921_p99	contig_3 48048_48839	274	0.583	2.293e-85
phrog_1015 ## NC_024213_p98	contig_3 42068_44494	722	0.568	7.87e-232
phrog_2896 ## NC_019511_p175	contig_3 7620_6979	313	0.727	6.751e-100
phrog_246 ## p216000 VI_03943	contig_2 2171_1464	100	0.346	1.0890000000000001e-25
phrog_2754 ## KY581279_p98	contig_3 36397_36708	220	1.0	6.472000000000001e-70
phrog_8 ## p309030 VI_07697	contig_3 7840_7610	35	0.425	1.734e-05
