phrog_hmm	gene_hmm	alnScore_hmm	seqIdentity_hmm	eVal_hmm
phrog_35936	EC23delimiter0	16.0	0.022	24.9
phrog_15077	EC23delimiter1	26.7	0.034	0.196
phrog_32237	EC23delimiter2	20.6	0.138	3.21
phrog_7770	EC23delimiter3	25.3	0.152	0.394
phrog_8760	EC23delimiter4	23.0	0.086	0.998
phrog_23798	EC23delimiter5	19.9	0.054	4.37
phrog_22753	EC23delimiter6	20.1	0.082	4.14
phrog_10284	EC23delimiter7	22.0	0.083	1.52
phrog_4072	EC23delimiter8	22.9	0.111	1.06
phrog_35040	EC23delimiter9	36.1	0.083	0.00305
phrog_24157	EC23delimiter10	18.1	0.096	9.88
phrog_23151	EC23delimiter11	21.0	0.113	2.57
phrog_5849	EC23delimiter12	20.2	0.029	3.84
phrog_22926	EC23delimiter13	15.5	0.048	32.8
phrog_324	EC23delimiter14	16.4	0.018	13.7
phrog_7458	EC23delimiter15	86.2	0.099	4.34e-13
phrog_1171	EC23delimiter16	347.7	0.417	2.9300000000000003e-64
phrog_5768	EC23delimiter17	30.2	0.111	0.0411
phrog_3087	EC23delimiter18	32.9	0.191	0.0127
phrog_4454	EC23delimiter19	28.7	0.017	0.0741
phrog_17373	EC23delimiter20	66.6	0.138	3.26e-09
phrog_2725	EC23delimiter21	65.0	0.22	5.35e-09
phrog_32357	EC23delimiter22	59.6	0.116	7.51e-08
phrog_32357	EC23delimiter23	26.2	0.082	0.252
phrog_15524	EC23delimiter24	470.1	0.423	4.15e-88
phrog_34686	EC23delimiter25	18.8	0.146	7.42
phrog_1009	EC23delimiter26	30.5	0.055	0.0262
phrog_11393	EC23delimiter27	122.7	0.124	3.33e-20
phrog_37474	EC23delimiter28	53.2	0.06	1.33e-06
phrog_7	EC23delimiter29	48.4	0.102	8.13e-06
phrog_4295	EC23delimiter30	35.2	0.098	0.00379
phrog_14251	EC23delimiter31	15.6	0.009	29.6
phrog_394	EC23delimiter32	31.6	0.128	0.0162
phrog_7873	EC23delimiter33	14.6	0.062	48.5
phrog_1052	EC23delimiter34	73.4	0.085	1.18e-10
phrog_332	EC23delimiter35	64.4	0.072	5.78e-09
phrog_1320	EC23delimiter36	55.7	0.159	3.75e-07
phrog_3810	EC23delimiter37	40.1	0.069	0.000376
phrog_8706	EC23delimiter38	23.5	0.054	0.854
phrog_14692	EC23delimiter39	27.6	0.193	0.132
phrog_34993	EC23delimiter40	13.9	0.024	65.5
phrog_1689	EC23delimiter41	135.3	0.159	9.329999999999999e-23
phrog_7339	EC23delimiter42	21.2	0.082	1.96
phrog_16030	EC23delimiter43	17.6	0.125	12.6
phrog_37265	EC23delimiter44	17.5	0.013	13.4
phrog_36368	EC23delimiter45	23.4	0.085	0.9
phrog_25485	EC23delimiter46	23.4	0.112	0.884
phrog_8057	EC23delimiter47	33.3	0.111	0.0103
phrog_36036	EC23delimiter48	20.9	0.078	2.75
phrog_32541	EC23delimiter49	19.2	0.118	5.98
phrog_20140	EC23delimiter50	20.0	0.075	4.29
phrog_23414	EC23delimiter51	26.2	0.1	0.26
phrog_32463	EC23delimiter52	23.1	0.167	1.03
phrog_6375	EC23delimiter53	228.2	0.604	7.87e-41
phrog_10572	EC23delimiter54	19.0	0.036	6.11
phrog_4240	EC23delimiter55	31.6	0.054	0.0184
phrog_7353	EC23delimiter56	19.5	0.2	5.43
phrog_31737	EC23delimiter57	20.2	0.055	3.86
phrog_29871	EC23delimiter58	171.6	0.409	9.829999999999999e-30
phrog_33846	EC23delimiter59	19.6	0.161	5.1
phrog_19	EC23delimiter60	80.5	0.082	3.58e-12
phrog_28004	EC23delimiter61	24.6	0.095	0.545
phrog_13030	EC23delimiter62	29.0	0.311	0.0726
phrog_2166	EC23delimiter63	263.8	0.168	8.279999999999999e-48
phrog_35936	Test_Contigdelimiter64	16.0	0.022	24.9
phrog_15077	Test_Contigdelimiter65	26.7	0.034	0.196
phrog_32237	Test_Contigdelimiter66	20.6	0.138	3.21
phrog_7770	Test_Contigdelimiter67	25.3	0.152	0.394
phrog_8760	Test_Contigdelimiter68	23.0	0.086	0.998
phrog_23798	Test_Contigdelimiter69	19.9	0.054	4.37
phrog_22753	Test_Contigdelimiter70	20.1	0.082	4.14
phrog_10284	Test_Contigdelimiter71	22.0	0.083	1.52
phrog_4072	Test_Contigdelimiter72	22.9	0.111	1.06
phrog_35040	Test_Contigdelimiter73	39.2	0.073	0.000774
phrog_24157	Test_Contigdelimiter74	18.1	0.096	9.88
phrog_23151	Test_Contigdelimiter75	21.0	0.113	2.57
phrog_5849	Test_Contigdelimiter76	20.2	0.029	3.84
phrog_22926	Test_Contigdelimiter77	15.5	0.048	32.8
phrog_324	Test_Contigdelimiter78	16.4	0.018	13.7
phrog_7458	Test_Contigdelimiter79	86.2	0.099	4.34e-13
phrog_1171	Test_Contigdelimiter80	347.7	0.417	2.9300000000000003e-64
phrog_5768	Test_Contigdelimiter81	30.2	0.111	0.0411
phrog_3087	Test_Contigdelimiter82	32.9	0.191	0.0127
phrog_4454	Test_Contigdelimiter83	28.7	0.017	0.0741
phrog_17373	Test_Contigdelimiter84	66.6	0.138	3.26e-09
phrog_2725	Test_Contigdelimiter85	65.0	0.22	5.35e-09
phrog_32357	Test_Contigdelimiter86	59.6	0.116	7.51e-08
phrog_32357	Test_Contigdelimiter87	26.2	0.082	0.252
phrog_7006	Test_Contigdelimiter88	15.5	0.033	29.6
