Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
AAB60941.1	AF002716.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration
ADH03009.1	HM036080.1	AAC(1)	aminoglycoside antibiotic	antibiotic inactivation
AAA03550.1	L06156.2	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
AAC44793.1	U41471.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
CCP42991.1	AL123456.3	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
AAB41701.1	U72743.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
CAC32082.1	AL583926.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
BAM16262.1	AB669090.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
APB03221.1	KX531051.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
AAG15269.1	U12338.3	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAA88422.1	L06157.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAL82588.1	AF355189.1	AAC(3);AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
CAD53575.1	AJ511268.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAR21614.1	AY458224.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
CAA31895.1	X13543.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAA26548.1	M97172.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
CAA38525.1	X54723.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ABS70977.1	EU022314.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ABS70978.1	EU022315.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
QKT21444.1	MT090547.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
CAA39184.1	X55652.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
KSC15183.1	LLLC01000048.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAA25683.1	L06161.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ABB43029.1	DQ241380.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
QEQ43476.1	MN366378.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
