phrog	gene	alnScore	seqIdentity	eVal
phrog_1047 ## KP881332_p40	test107 76274_72216	957	0.528	3.172e-308
phrog_2995 ## MG721208_p172	test160 106395_107009	403	0.937	3.7570000000000005e-131
phrog_2340 ## MH107769_p146	test72 34050_33538	216	0.641	6.654e-67
phrog_4855 ## JX080302_p207	test6 1979_1470	389	1.0	4.3999999999999995e-127
phrog_635 ## p151018 VI_04917	test150 100899_101756	233	0.316	5.112e-68
phrog_32622 ## NC_025426_p30	test85 43053_41986	178	1.0	7.9710000000000005e-56
phrog_3200 ## KJ206562_p55	test168 110718_112766	1464	1.0	0.0
phrog_1127 ## KU737346_p88	test118 82818_82198	310	0.742	6.332e-99
phrog_1004 ## NC_019487_p144	test119 83696_82818	352	0.768	6.123e-113
phrog_21388 ## KX532239_p86	test87 45583_43664	246	0.807	8.834e-78
phrog_1017 ## p137170 VI_02792	test199 124413_124901	180	0.57	7.809e-54
phrog_4340 ## AY954969_p124	test8 2580_2359	184	1.0	6.184e-58
phrog_1992 ## p247154 VI_04561	test171 113159_113461	111	0.373	1.455e-30
phrog_100 ## NC_031107_p32	test89 46997_45960	151	0.296	3.6759999999999997e-41
phrog_1215 ## NC_024787_p72	test140 97674_97883	96	0.652	5.1029999999999996e-27
phrog_1098 ## NC_009904_p44	test91 50124_48511	478	0.499	8.645e-151
phrog_2773 ## KP881332_p67	test88 45960_45583	132	0.791	1.8099999999999998e-39
phrog_279 ## p47709 VI_05997	test115 81099_79336	252	0.33	1.845e-74
phrog_883 ## KY554770_p110	test81 40517_40125	108	0.484	2.1760000000000002e-30
phrog_985 ## NC_022918_p104	test114 79263_78835	260	0.875	5.885e-83
phrog_3847 ## AY954969_p123	test9 2974_2582	293	1.0	1.367e-94
phrog_15361 ## NC_030933_p20	test125 90159_88468	488	0.83	8.678e-159
phrog_11913 ## MF398190_p193	test24 9397_9137	224	1.0	1.167e-71
phrog_1011 ## MF288921_p99	test103 66157_65366	274	0.583	2.271e-85
phrog_1015 ## NC_024213_p98	test106 72137_69711	722	0.568	7.793e-232
phrog_2896 ## NC_019511_p175	test157 105109_105750	313	0.727	6.686e-100
phrog_246 ## p216000 VI_03943	test197 123298_124005	100	0.346	1.078e-25
phrog_2754 ## KY581279_p98	test110 77808_77497	220	1.0	6.41e-70
phrog_3 ## p29899 VI_00998	test156 104889_105119	36	0.323	2.821e-06
phrog_962 ## p185654 VI_04542	test149 100396_100899	175	0.701	1.3579999999999998e-53
phrog_675 ## MF288921_p63	test132 95486_93669	886	0.736	6.596e-291
phrog_86 ## KT995480_p118	test79 37982_36933	222	0.39	1.9e-65
phrog_3388 ## NC_022918_p13	test221 131403_131212	145	1.0	2.071e-44
phrog_59 ## MG812495_p46	test69 31791_31084	113	0.461	1.7330000000000002e-31
phrog_59 ## MG812495_p46	test218 130407_130895	82	0.324	7.363e-21
phrog_9690 ## MF001355_p164	test92 51884_50136	351	0.605	3.158e-111
phrog_1028 ## MF001365_p35	test124 88241_87501	419	0.823	1.48e-135
phrog_5770 ## KY779849_p31	test205 127000_127407	312	1.0	3.493e-101
phrog_1316 ## NC_022763_p89	test108 76863_76327	171	0.507	2.738e-51
phrog_1038 ## KY581279_p99	test109 77365_76907	228	0.735	1.2030000000000001e-71
phrog_3522 ## NC_005880_p8	test228 133479_133132	289	1.0	1.541e-93
phrog_3844 ## KX507046_p55	test80 40110_37996	350	0.423	4.6850000000000005e-108
phrog_4650 ## JX080304_p196	test17 7563_6883	481	1.0	1.107e-157
phrog_1069 ## MH107769_p149	test65 29662_29180	230	0.709	3.594e-72
phrog_3686 ## KJ206562_p35	test188 120555_120773	179	1.0	3.593e-56
phrog_4178 ## KJ206562_p33	test195 122311_122628	203	0.922	7.75e-64
phrog_341 ## p82046 VI_05313	test58 24726_24205	177	0.579	2.109e-53
phrog_1007 ## NC_011421_p2	test47 17906_17175	282	0.679	8.13e-89
phrog_24718 ## KR908644_p85	test238 136116_135925	40	0.482	1.653e-07
phrog_1696 ## MF678790_p61	test57 24190_23963	90	0.625	4.672000000000001e-25
phrog_2386 ## NC_020871_p95	test99 62951_59997	1525	0.768	0.0
phrog_2642 ## KP687431_p208	test165 109602_110180	331	0.83	2.503e-106
phrog_752 ## p62610 VI_12390	test122 86410_85019	548	0.595	3.304e-176
phrog_3644 ## JX080301_p157	test52 21236_20925	268	1.0	2.179e-86
phrog_3048 ## KJ206562_p53	test170 112971_113159	128	0.963	1.18e-38
phrog_3077 ## NC_005880_p9	test227 132587_132925	242	1.0	3.869e-77
phrog_170 ## KT995480_p45	test161 107061_107801	145	0.429	2.9989999999999996e-41
phrog_975 ## NC_020871_p93	test101 64842_64138	336	0.716	1.667e-107
phrog_6754 ## MF398190_p176	test41 14616_14452	134	1.0	6.747e-41
phrog_2701 ## NC_014661_p3	test113 78738_78598	70	0.797	1.003e-18
phrog_152 ## p296456 VI_05035	test178 116737_116901	67	0.627	1.579e-17
phrog_1321 ## NC_018860_p10	test134 96186_95908	145	0.76	1.063e-43
phrog_1099 ## MH078572_p111	test229 133729_133490	101	0.647	6.631e-29
phrog_1099 ## MH078572_p111	test230 134064_133807	101	0.655	6.631e-29
phrog_1099 ## MH078572_p111	test13 6018_5710	78	0.532	6.5e-21
phrog_1151 ## NC_031056_p197	test116 81341_81126	104	0.768	4.115e-30
phrog_448 ## NC_031034_p67	test11 4787_3318	684	0.714	8.361000000000001e-223
phrog_3164 ## MH107769_p11	test222 131762_131478	227	1.0	2.747e-72
phrog_3377 ## NC_027355_p168	test153 103035_103670	123	0.66	3.431e-34
phrog_3837 ## MH107769_p238	test215 130011_129880	110	1.0	6.894e-33
phrog_2164 ## KJ829260_p111	test183 118824_119213	109	0.435	8.065000000000001e-30
phrog_2861 ## NC_025426_p166	test173 114004_114330	134	0.89	1.606e-40
phrog_3697 ## MG721208_p195	test184 119215_119454	193	1.0	7.953e-61
phrog_2708 ## KJ206562_p51	test172 113595_114011	269	0.922	6.41e-86
phrog_1909 ## NC_028778_p121	test176 115614_116459	285	0.542	5.42e-89
phrog_3157 ## EU418428_p169	test42 14863_14621	166	0.971	1.84e-51
phrog_1070 ## DQ004855_p48	test86 43664_43068	162	0.459	5.988e-48
phrog_2797 ## NC_020877_p61	test78 36915_36586	195	0.853	6.846e-61
phrog_1104 ## NC_021781_p184	test46 17157_16699	175	0.577	6.018999999999999e-53
phrog_1240 ## NC_027355_p165	test59 25372_24740	166	0.566	5.174e-50
phrog_16296 ## EU418428_p24	test204 126569_127000	209	1.0	1.743e-66
phrog_19 ## p414569 VI_10123	test90 48518_47076	158	0.272	4.656e-43
phrog_3093 ## NC_023582_p63	test162 107870_108094	94	0.631	1.934e-26
phrog_7862 ## JX080301_p192	test1 382_281	78	1.0	5.924e-22
phrog_5547 ## MH078572_p191	test135 96430_96164	152	0.849	2.422e-46
phrog_25616 ## NC_030933_p170	test159 105954_106379	113	0.764	3.319e-33
phrog_3310 ## NC_007021_p174	test154 103857_104549	360	0.792	5.387000000000001e-116
phrog_987 ## p92466 VI_00133	test148 100126_100311	83	0.66	1.006e-22
phrog_32014 ## KJ206562_p189	test21 8681_8418	213	1.0	6.923999999999999e-66
phrog_772 ## NC_022090_p13	test120 84618_83710	407	0.794	1.3090000000000002e-131
phrog_2573 ## NC_028962_p70	test67 30850_29990	350	0.634	1.9219999999999998e-111
phrog_877 ## NC_020871_p97	test97 59344_55886	1601	0.711	0.0
phrog_3752 ## NC_005880_p179	test29 11172_10822	294	1.0	3.658e-95
phrog_4320 ## NC_022918_p107	test111 78084_77890	136	1.0	3.0189999999999997e-41
phrog_4526 ## JX080303_p80	test137 96691_96957	178	0.949	2.0680000000000002e-55
phrog_3619 ## KP687431_p178	test202 125893_126378	323	0.95	1.692e-104
phrog_3319 ## KY581279_p33	test181 118029_118511	333	0.98	8.279e-108
phrog_548 ## NC_028887_p254	test163 108094_108990	204	0.42	2.3689999999999998e-60
phrog_7733 ## KY581279_p10	test211 129010_128741	101	1.0	9.142e-30
phrog_7869 ## MF398190_p177	test40 14465_14286	146	1.0	6.523e-45
phrog_22 ## KX925554_p168	test77 36602_36282	40	0.276	2.826e-07
phrog_4637 ## AP018375_p196	test5 1468_1139	165	0.861	8.602999999999999e-51
phrog_3504 ## MG721208_p193	test182 118552_118725	144	1.0	2.8659999999999997e-44
phrog_654 ## MH107769_p227	test235 135545_135246	125	0.631	1.011e-36
phrog_4081 ## NC_025417_p199	test18 7881_7564	244	1.0	3.003e-78
phrog_1303 ## NC_020873_p120	test45 16634_16191	131	0.532	3.835e-37
phrog_1905 ## MG708276_p44	test112 78555_78097	170	0.595	1.858e-51
phrog_2884 ## KY779849_p29	test207 127907_128143	180	1.0	2.3e-56
phrog_1080 ## NC_024360_p172	test51 20861_20325	213	0.63	1.355e-65
phrog_3621 ## NC_019726_p198	test66 29921_29679	195	1.0	1.72e-61
phrog_4208 ## NC_005880_p180	test28 10822_10220	513	1.0	1.856e-169
phrog_3857 ## KJ206562_p30	test198 124002_124400	317	1.0	6.497999999999999e-103
phrog_5230 ## MG721208_p196	test185 119466_119570	84	1.0	7.315e-24
phrog_1063 ## KY549443_p103	test133 95827_95501	139	0.613	7.309e-41
phrog_5729 ## JX080302_p211	test2 586_419	141	1.0	2.479e-43
phrog_2665 ## NC_025426_p17	test95 55678_53756	1274	0.947	0.0
phrog_2691 ## NC_025426_p19	test93 53352_51976	878	0.916	8.643999999999999e-291
phrog_3854 ## MF398190_p179	test38 14084_13551	358	0.966	3.014e-116
phrog_2981 ## KJ206562_p32	test196 122644_123198	306	0.808	7.027e-98
phrog_2672 ## KP687431_p94	test64 29093_27822	861	0.965	1.777e-285
phrog_4418 ## NC_025417_p198	test19 8147_7884	217	1.0	3.6340000000000003e-69
phrog_21462 ## JX875065_p154	test49 19587_19141	238	1.0	1.588e-75
phrog_4009 ## KY779849_p187	test37 13536_13288	167	0.956	7.869e-52
phrog_1394 ## p52190 VI_08944	test98 59886_59365	174	0.553	1.029e-52
phrog_3128 ## NC_020877_p88	test35 13107_12811	181	0.947	1.614e-56
phrog_2349 ## p37356 VI_05911	test201 125469_125900	164	0.586	1.612e-49
phrog_1073 ## FR852584_p32	test102 65366_64842	230	0.661	6.810000000000001e-72
phrog_1000 ## NC_028982_p94	test117 82179_81343	295	0.57	2.929e-92
phrog_3524 ## MF398190_p180	test36 13276_13100	121	0.974	2.1030000000000002e-36
phrog_2706 ## JX080303_p65	test158 105773_105964	130	0.96	3.497e-39
phrog_3143 ## MH107769_p184	test30 11492_11187	233	1.0	2.354e-74
phrog_3667 ## KR902361_p79	test151 101869_102177	239	1.0	2.16e-76
phrog_3094 ## NC_030933_p17	test128 92126_90978	346	0.738	2.787e-110
phrog_97 ## NC_023573_p129	test63 27762_26506	427	0.563	2.4859999999999998e-135
phrog_3937 ## KJ206562_p90	test127 90836_90552	193	0.963	4.231e-60
phrog_2204 ## JX080300_p112	test104 68810_66264	1454	0.832	0.0
phrog_2863 ## EU418428_p167	test43 15408_15010	258	0.924	3.324e-82
phrog_2721 ## JX080303_p156	test55 23603_22848	479	0.91	1.272e-156
phrog_3804 ## MH107769_p183	test31 11834_11562	205	1.0	8.417e-65
phrog_244 ## KY926791_p64	test82 41142_40534	113	0.457	1.727e-31
phrog_4045 ## KJ206562_p28	test200 124913_125455	453	1.0	3.444e-149
phrog_4028 ## AY954969_p122	test10 3239_2994	196	1.0	7.004e-62
phrog_1113 ## KJ586795_p34	test48 19141_18278	217	0.425	3.1920000000000003e-65
phrog_1116 ## NC_024364_p99	test129 92698_92219	166	0.564	9.2e-49
phrog_4096 ## JX080304_p199	test14 6400_6110	231	1.0	6.504e-74
phrog_379 ## KY554777_p175	test74 35469_35164	94	0.479	1.318e-25
phrog_3669 ## MH107769_p181	test33 12568_12200	283	1.0	3.406e-91
phrog_1257 ## NC_024364_p114	test142 98361_98579	115	0.814	8.455e-34
phrog_20349 ## KJ206562_p49	test175 114484_115602	212	1.0	2.329e-67
phrog_2677 ## JX080300_p111	test105 69697_68810	529	0.862	4.069e-173
phrog_1205 ## NC_022090_p12	test121 84927_84631	89	0.617	1.469e-24
phrog_1074 ## DQ004855_p38	test96 55837_55679	59	0.512	3.742e-14
phrog_27748 ## KY779849_p45	test191 121541_121741	168	1.0	1.866e-52
phrog_3789 ## NC_005880_p19	test212 129183_129010	135	1.0	3.0459999999999996e-41
phrog_1133 ## KJ591605_p133	test123 87482_86526	144	0.367	3.75e-40
phrog_2601 ## NC_020877_p110	test224 132276_131968	184	0.861	2.094e-57
phrog_5741 ## AP018375_p194	test3 915_601	255	1.0	7.729e-82
phrog_1054 ## NC_012530_p148	test75 36075_35479	274	0.697	1.04e-85
phrog_2948 ## KJ206562_p34	test189 120777_121325	335	0.88	3.552e-108
phrog_22992 ## AY954969_p152	test209 128393_128292	90	1.0	5.905e-26
phrog_1817 ## NC_029080_p59	test164 108983_109609	354	0.822	4.374e-114
phrog_2988 ## NC_020877_p89	test32 12187_11840	167	0.823	2.257e-51
phrog_3702 ## AP018375_p24	test179 116904_117437	436	1.0	4.3690000000000005e-143
phrog_1917 ## KJ206562_p86	test131 93676_92855	351	0.664	7.5749999999999995e-112
phrog_4743 ## NC_024355_p101	test20 8341_8162	103	0.827	6.488e-30
phrog_3950 ## KJ206562_p36	test187 120360_120554	169	1.0	8.944e-53
phrog_4249 ## NC_025417_p25	test203 126375_126566	150	1.0	2.4590000000000003e-46
phrog_2811 ## KJ206562_p56	test167 110377_110640	161	0.878	1.161e-49
phrog_1486 ## MF288921_p261	test25 9800_9399	127	0.513	7.609e-37
phrog_1486 ## MF288921_p261	test23 9085_8798	70	0.347	5.239e-17
phrog_619 ## NC_024383_p145	test12 5713_4805	246	0.478	7.551e-75
phrog_2966 ## KJ206562_p54	test169 112766_112927	119	1.0	7.926e-36
phrog_3751 ## AP018375_p26	test177 116459_116734	179	0.916	1.3380000000000001e-55
phrog_1481 ## NC_021856_p56	test138 96990_97316	177	0.785	1.331e-54
phrog_3640 ## MH107769_p180	test34 12763_12581	154	1.0	6.478e-48
phrog_4983 ## JX080302_p209	test4 1133_939	151	1.0	1.771e-46
phrog_937 ## p288068 VI_01277	test139 97329_97661	39	0.434	9.299e-07
phrog_200 ## p13345 VI_10141	test152 102177_102968	150	0.373	2.2810000000000002e-42
phrog_3453 ## KP881332_p117	test15 6601_6401	139	0.967	4.1740000000000004e-42
phrog_2543 ## NC_020838_p42	test213 129712_129242	102	0.599	1.62e-28
phrog_3464 ## MG721208_p197	test186 119633_120370	552	1.0	6.091e-182
phrog_4580 ## MH028956_p143	test22 8787_8671	64	0.828	9.138e-17
phrog_1095 ## NC_024137_p119	test83 41581_41129	106	0.454	1.201e-29
phrog_1108 ## NC_030925_p107	test126 90474_90163	137	0.801	8.02e-41
phrog_2892 ## KP881332_p99	test53 21591_21223	175	0.774	7.214e-54
phrog_3204 ## KY779849_p3	test234 135230_135045	107	0.828	3.051e-31
phrog_4430 ## NC_025417_p202	test16 6794_6636	113	1.0	1.6499999999999998e-33
phrog_1025 ## NC_011421_p154	test61 26162_25500	213	0.608	1.991e-65
phrog_3224 ## NC_021328_p223	test7 2293_1982	113	0.631	7.586e-33
phrog_984 ## p282458 VI_10890	test50 20332_19565	220	0.68	4.0249999999999994e-68
phrog_4008 ## NC_025426_p41	test73 35088_34216	541	0.892	1.735e-175
phrog_4008 ## NC_025426_p41	test71 33402_32059	129	0.793	3.1920000000000003e-34
phrog_1089 ## NC_024787_p156	test62 26502_26149	166	0.699	1.17e-50
phrog_2673 ## JX080303_p155	test56 23867_23607	182	0.988	7.922000000000001e-57
phrog_6 ## p248291 VI_09499	test100 64123_63077	73	0.232	8.434e-16
phrog_3701 ## NC_025426_p82	test27 10206_10027	141	1.0	4.004e-43
phrog_2770 ## NC_025426_p183	test155 104659_104886	140	0.883	1.2360000000000001e-42
phrog_3664 ## MF398190_p178	test39 14250_14074	149	1.0	4.9180000000000005e-46
phrog_2671 ## NC_025426_p18	test94 53733_53359	228	0.876	4.392e-72
phrog_3635 ## KY581279_p34	test180 117437_117979	430	1.0	4.188e-141
phrog_1274 ## p104578 VI_00510	test166 110187_110360	106	0.902	8.606000000000001e-31
phrog_284 ## NC_021330_p34	test54 22855_21605	183	0.365	9.946e-52
phrog_3863 ## KJ206562_p87	test130 92784_92695	66	1.0	4.058e-17
phrog_654 ## MH107769_p227	test231 134361_134068	122	0.628	1.271e-35
phrog_654 ## MH107769_p227	test233 134938_134648	121	0.622	3.282e-35
phrog_654 ## MH107769_p227	test232 134648_134361	89	0.481	6.058e-24
phrog_2726 ## EU418428_p166	test44 16174_15470	424	0.87	4.514e-138
phrog_7534 ## KR908644_p62	test206 127420_127905	401	1.0	1.6830000000000002e-131
phrog_4863 ## KY581279_p11	test210 128656_128477	152	1.0	4.1119999999999995e-47
phrog_1291 ## NC_027366_p132	test84 41919_41581	105	0.526	1.075e-29
