start	stop	frame	contig	score	gene
490	2	-	EC23delimiter	-19840.77178348302393896932075	EC23delimiter0 490_2
1477	554	-	EC23delimiter	-1220050.189557036221951282774	EC23delimiter1 1477_554
1664	1539	-	EC23delimiter	-10.22966648771139437055385425	EC23delimiter2 1664_1539
1854	1741	-	EC23delimiter	-7.380488557321602726065480824	EC23delimiter3 1854_1741
2210	1857	-	EC23delimiter	-659.3100166583377304285080005	EC23delimiter4 2210_1857
2471	2361	-	EC23delimiter	-19.24074207554458885913206350	EC23delimiter5 2471_2361
2592	2494	-	EC23delimiter	-0.06381791855374252119143995932	EC23delimiter6 2592_2494
2825	2601	-	EC23delimiter	-206.2670824385560229726235268	EC23delimiter7 2825_2601
3004	2825	-	EC23delimiter	-14.25442250742677436314259756	EC23delimiter8 3004_2825
3138	3001	-	EC23delimiter	-7.244687726817758537942115286	EC23delimiter9 3138_3001
3241	3122	-	EC23delimiter	-4.603897605141663438037747767	EC23delimiter10 3241_3122
3664	3557	-	EC23delimiter	-0.1283120158819250336997986967	EC23delimiter11 3664_3557
3892	3710	-	EC23delimiter	-0.09542777885994454759719811714	EC23delimiter12 3892_3710
4101	3952	-	EC23delimiter	-0.1066637124276346257261698002	EC23delimiter13 4101_3952
4334	4185	-	EC23delimiter	-55.92512728579980881805429819	EC23delimiter14 4334_4185
6058	4346	-	EC23delimiter	-26954933781.43890925763823319	EC23delimiter15 6058_4346
8042	6144	-	EC23delimiter	-851694163.8247328054520142968	EC23delimiter16 8042_6144
8371	8174	-	EC23delimiter	-9.682237748505690856485463613	EC23delimiter17 8371_8174
8610	8461	-	EC23delimiter	-8.026318355426001513932291279	EC23delimiter18 8610_8461
8725	8594	-	EC23delimiter	-5.681231745481799482856566337	EC23delimiter19 8725_8594
9063	8719	-	EC23delimiter	-128.7175588759825550829084608	EC23delimiter20 9063_8719
9752	9063	-	EC23delimiter	-13006.28524883948362440200875	EC23delimiter21 9752_9063
10038	9754	-	EC23delimiter	-94.28005165459064965328164860	EC23delimiter22 10038_9754
10337	10056	-	EC23delimiter	-109.6345204254113135472406990	EC23delimiter23 10337_10056
12390	10495	-	EC23delimiter	-3246956585146.931809919659910	EC23delimiter24 12390_10495
12689	12390	-	EC23delimiter	-20.87554107720459049575479821	EC23delimiter25 12689_12390
12867	12673	-	EC23delimiter	-91.67389073930835647359398544	EC23delimiter26 12867_12673
13839	12877	-	EC23delimiter	-68605449.17237451480024205891	EC23delimiter27 13839_12877
17147	13839	-	EC23delimiter	-58357513794965379903366.55108	EC23delimiter28 17147_13839
20160	17212	-	EC23delimiter	-31895033447465361208.70863913	EC23delimiter29 20160_17212
20882	20160	-	EC23delimiter	-1630.299544117110620585421960	EC23delimiter30 20882_20160
23284	20882	-	EC23delimiter	-22412387877168386.97283952235	EC23delimiter31 23284_20882
24021	23284	-	EC23delimiter	-706616.3320083139773147091631	EC23delimiter32 24021_23284
25290	24076	-	EC23delimiter	-13389958.85783206694317875549	EC23delimiter33 25290_24076
26290	25370	-	EC23delimiter	-5469712.043034428271249029839	EC23delimiter34 26290_25370
27840	26290	-	EC23delimiter	-134963318082.1668787923813222	EC23delimiter35 27840_26290
28051	27842	-	EC23delimiter	-36.82409351063500483781553691	EC23delimiter36 28051_27842
28522	28061	-	EC23delimiter	-4323.435656039771184910814051	EC23delimiter37 28522_28061
28632	28519	-	EC23delimiter	-10.63256044404211528285050814	EC23delimiter38 28632_28519
28867	28652	-	EC23delimiter	-60.15278168186163045437009576	EC23delimiter39 28867_28652
29786	28839	-	EC23delimiter	-17242556.68234703108043284232	EC23delimiter40 29786_28839
30291	29788	-	EC23delimiter	-5428.552606172793518807622942	EC23delimiter41 30291_29788
31532	30393	-	EC23delimiter	-676598.7846013090925194972646	EC23delimiter42 31532_30393
31673	31542	-	EC23delimiter	-2.741912388045715614819623616	EC23delimiter43 31673_31542
32816	31788	-	EC23delimiter	-45980872.53917246019957658674	EC23delimiter44 32816_31788
32919	32830	-	EC23delimiter	-1.323823871828027614578061086	EC23delimiter45 32919_32830
33452	33078	-	EC23delimiter	-849.9428054198020751676209803	EC23delimiter46 33452_33078
33776	33558	-	EC23delimiter	-18.70631653175083099724254892	EC23delimiter47 33776_33558
34592	33786	-	EC23delimiter	-3917765.626547365744950466175	EC23delimiter48 34592_33786
35047	34670	-	EC23delimiter	-1924.003840189555668057664634	EC23delimiter49 35047_34670
35394	35134	-	EC23delimiter	-82.15796855233250300667240852	EC23delimiter50 35394_35134
35550	35452	-	EC23delimiter	-4.264995757018455755322729114	EC23delimiter51 35550_35452
35666	35550	-	EC23delimiter	-10.44028493077624098518451021	EC23delimiter52 35666_35550
38212	35666	-	EC23delimiter	-9831156975927047.337205984773	EC23delimiter53 38212_35666
38356	38267	-	EC23delimiter	-3.077749580881331833872345482	EC23delimiter54 38356_38267
38512	38405	-	EC23delimiter	-17.79843740100073243062780315	EC23delimiter55 38512_38405
38746	38570	-	EC23delimiter	-22.15187194045815741691532008	EC23delimiter56 38746_38570
38954	38736	-	EC23delimiter	-22.55933151715142266252887858	EC23delimiter57 38954_38736
39648	38965	-	EC23delimiter	-268435.0199860099725049805431	EC23delimiter58 39648_38965
39882	39721	-	EC23delimiter	-28.09153801845631004930985129	EC23delimiter59 39882_39721
41870	39882	-	EC23delimiter	-379120989681427.1691564279182	EC23delimiter60 41870_39882
42088	41870	-	EC23delimiter	-7.023118092328031453732002960	EC23delimiter61 42088_41870
42220	42092	-	EC23delimiter	-6.414749685462110120845141833	EC23delimiter62 42220_42092
44680	42545	-	EC23delimiter	-691500801930.0590004955622769	EC23delimiter63 44680_42545
